classification	n	maf	population_relative_gap	true_angle_deg	replicates	expected_n0	expected_n1	expected_n2	group_count_pass_rate	gap_pass_rate	joint_estimable_rate	joint_estimable_ci_low	joint_estimable_ci_high	null_reference_95	null_exceedance_rate	null_exceedance_ci_low	null_exceedance_ci_high	estimated_angle_q10_deg	estimated_angle_median_deg	estimated_angle_q90_deg	fitted_gap_q10	fitted_gap_median	fitted_gap_q90
EXPLORATORY_NON_EVIDENCE	500	0.05	0.05	0.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	61.54910843419128	76.6051778956896	86.8057429005376	0.10304872529324444	0.16712885347016826	0.20696953415287225
EXPLORATORY_NON_EVIDENCE	500	0.05	0.05	5.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	61.59303698072357	76.46868561523709	86.77208942190472	0.10288104767443032	0.16645229948019186	0.21232744988282717
EXPLORATORY_NON_EVIDENCE	500	0.05	0.05	10.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	61.71705710592382	76.37102310726911	86.79434741330508	0.1023294205927353	0.1657027402910296	0.21764480445550455
EXPLORATORY_NON_EVIDENCE	500	0.05	0.05	20.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	62.17230186373652	76.29116792555196	87.00992932937017	0.1024746664164736	0.15971327699420895	0.22889305531953577
EXPLORATORY_NON_EVIDENCE	500	0.05	0.05	30.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	62.87133572010069	76.56078359434213	87.45488246324945	0.10602422381324733	0.16258472683927722	0.23986442693536195
EXPLORATORY_NON_EVIDENCE	500	0.05	0.1	0.0	12	451.25	47.5	1.2500000000000002	0.0	1.0	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	66.8287038136932	77.47657236213503	87.17210467315992	0.1420828750745678	0.21276792797509236	0.3097818595523259
EXPLORATORY_NON_EVIDENCE	500	0.05	0.1	5.0	12	451.25	47.5	1.2500000000000002	0.0	1.0	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	66.9537232410709	77.2575614916529	87.20718523797696	0.136462547402061	0.20802510158372609	0.30983074107451586
EXPLORATORY_NON_EVIDENCE	500	0.05	0.1	10.0	12	451.25	47.5	1.2500000000000002	0.0	1.0	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	67.02031444993474	77.03745531009463	87.24843626438218	0.1307206472538711	0.20445831077218685	0.3099613736473774
EXPLORATORY_NON_EVIDENCE	500	0.05	0.1	20.0	12	451.25	47.5	1.2500000000000002	0.0	1.0	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	66.97193262643393	76.60231155091785	87.34869536697246	0.14606143798838375	0.20452720833549254	0.3104296837174372
EXPLORATORY_NON_EVIDENCE	500	0.05	0.1	30.0	12	451.25	47.5	1.2500000000000002	0.0	1.0	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	66.67611308345501	76.18565318884436	87.4709672017759	0.15144197737961063	0.20457865774702394	0.3110987716533496
EXPLORATORY_NON_EVIDENCE	500	0.05	0.2	0.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	64.50507289248134	75.55918281264034	79.62344936006431	0.12506525592434214	0.26578038560329137	0.3413893025205141
EXPLORATORY_NON_EVIDENCE	500	0.05	0.2	5.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	64.62323097170204	75.537838835197	79.70998326195138	0.12844511264524247	0.26916807870219595	0.34669579417973406
EXPLORATORY_NON_EVIDENCE	500	0.05	0.2	10.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	64.7503018151268	75.5027020467359	79.81947763230396	0.13148184955319314	0.27157306087044664	0.3494001374615742
EXPLORATORY_NON_EVIDENCE	500	0.05	0.2	20.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	65.02850299869033	75.39135405737966	80.10797655390456	0.13049510705528464	0.26710947363156545	0.34706478015664144
EXPLORATORY_NON_EVIDENCE	500	0.05	0.2	30.0	12	451.25	47.5	1.2500000000000002	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	65.33313163417276	75.22641257073874	80.48917948708988	0.11778198046035845	0.26326308723148895	0.3616420680986483
EXPLORATORY_NON_EVIDENCE	500	0.1	0.05	0.0	12	405.0	90.0	5.000000000000001	0.0	0.9166666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	55.67740213516475	72.4350394387271	84.33631044489734	0.10214161452354732	0.15908162143250976	0.34624999920403926
EXPLORATORY_NON_EVIDENCE	500	0.1	0.05	5.0	12	405.0	90.0	5.000000000000001	0.0	0.8333333333333334	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	56.361977134306464	72.52333032195551	84.38029526365794	0.0991861792472102	0.16232371525038697	0.34733610036798246
EXPLORATORY_NON_EVIDENCE	500	0.1	0.05	10.0	12	405.0	90.0	5.000000000000001	0.0	0.8333333333333334	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	57.105676862588034	72.62589737476884	84.82253291566562	0.0959386624582326	0.16586770869243483	0.3487800578072584
